id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1155/2009/591935; local:591935; local:591935,Smallpox and Season: Reanalysis of Historical Data,"Nishiura, Hiroshi [orcid:0000-0003-0941-8537]; Kashiwagi, Tomoko",2009,Interdisciplinary Perspectives on Infectious Diseases [issn:1687-708X; issn:1687-7098],2009,,1-10,journal-article,Hindawi Limited [crossref:98]
doi:10.1155/2008/826974; local:826974; local:826974,Precipitation of Hemicelluloses from DMSO/Water Mixtures Using Carbon Dioxide as an Antisolvent,"Haimer, Emmerich; Wendland, Martin; Potthast, Antje [orcid:0000-0003-1981-2271]; Rosenau, Thomas [orcid:0000-0002-6636-9260]; Liebner, Falk",2008,Journal of Nanomaterials [issn:1687-4110; issn:1687-4129],2008,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1007/978-1-4615-5967-2_22,Health Benefits of Non-Digestible Oligosaccharides,"Roberfroid, M. B.",1997,Advances in Experimental Medicine and Biology - Dietary Fiber in Health and Disease [isbn:9781461377351; isbn:9781461559672],,,211-219,book-chapter,Springer US [crossref:297]
doi:10.1006/fstl.1994.1001; local:S0023643884710012,Physiological Effects of Non-Digestible Oligosaccharides,"Delzenne, N.M.; Roberfroid, M.R.",1994,LWT - Food Science and Technology [issn:0023-6438],27,1,1-6,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2008/701813; local:701813; local:701813,Studies on Calcium Ion Selectivity of ZnO Nanowire Sensors Using Ionophore Membrane Coatings,"Asif, M. H.; Nur, O. [orcid:0000-0002-9566-041X]; Willander, M.; Yakovleva, M.; Danielsson, B.",2008,Research Letters in Nanotechnology [issn:1687-6849; issn:1687-6857],2008,,1-4,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s1369-7021(05)00791-1; local:S1369702105007911,Nanowire nanosensors,"Patolsky, Fernando; Lieber, Charles M.",2005,Materials Today [issn:1369-7021],8,4,20-28,journal-article,Elsevier BV [crossref:78]
doi:10.1093/ecam/nen081; local:743153; local:743153,Suppressive Effect of Juzen-Taiho-To on Lung Metastasis of B16 Melanoma CellsIn Vivo,"Matsuda, Takako; Maekawa, Katsuhiko; Asano, Kazuhito [orcid:0000-0001-5168-472X]; Hisamitsu, Tadashi",2011,Evidence-Based Complementary and Alternative Medicine [issn:1741-427X; issn:1741-4288],2011,,1-5,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s0047-6374(00)00249-9; local:S0047637400002499,Immunological restoration and anti-tumor effect by Japanese herbal medicine in aged mice,"Utsuyama, Masanori; Seidlar, Heinrich; Kitagawa, Masanobu; Hirokawa, Katsuiku",2001,Mechanisms of Ageing and Development [issn:0047-6374],122,3,341-352,journal-article,Elsevier BV [crossref:78]
doi:10.1155/2008/897069; local:897069; local:897069,Turbo Decoder for Low-Power Ultrawideband Communication Systems,"Obiedat, Esam A. [orcid:0000-0002-3579-6411]; Cao, Lei",2008,International Journal of Digital Multimedia Broadcasting [issn:1687-7578; issn:1687-7586],2008,,1-7,journal-article,Hindawi Limited [crossref:98]
doi:10.1109/49.661104,Early detection and trellis splicing: reduced-complexity iterative decoding,"Frey, B.J.; Kschischang, F.R.",1998,IEEE Journal on Selected Areas in Communications [issn:0733-8716],16,2,153-159,journal-article,Institute of Electrical and Electronics Engineers (IEEE) [crossref:263]
